,person,offer_id,offer received,offer viewed,offer completed,valid,duration
0,1,0b1e1539f2cc45b7b9fa7c272da2e1d7,14.0,14.5,,False,10
1,1,2298d6c36e964ae4a3e7e9706d1fb8c2,21.0,21.0,23.0,True,7
2,1,2906b810c7d4411798c6938adc9daaa5,7.0,9.0,,False,7
3,1,fafdcd668e3743c1bb461111dcafc2a4,17.0,17.0,23.0,True,10
4,2,3f207df678b143eea3cee63160fa8bed,21.0,,,False,4
5,2,9b98b8c7a33c4b65b9aebfe6a799e6d9,17.0,,22.0,False,7
6,3,5a8bc65990b245e5a138643cd4eb9837,24.0,27.75,,False,3
7,3,9b98b8c7a33c4b65b9aebfe6a799e6d9,7.0,7.0,,False,7
8,4,5a8bc65990b245e5a138643cd4eb9837,7.0,9.0,,False,3
9,4,9b98b8c7a33c4b65b9aebfe6a799e6d9,0.0,0.25,5.5,True,7
10,4,ae264e3637204a6fb9bb56bc8210ddfd,17.0,17.0,21.25,True,7
11,4,f19421c1d4aa40978ebb69ca19b0e20d,21.0,24.25,21.25,False,5
12,5,0b1e1539f2cc45b7b9fa7c272da2e1d7,0.0,0.25,,False,10
13,5,3f207df678b143eea3cee63160fa8bed,14.0,14.0,,False,4
14,5,5a8bc65990b245e5a138643cd4eb9837,17.0,,,False,3
15,6,2906b810c7d4411798c6938adc9daaa5,0.0,0.75,,False,7
16,6,3f207df678b143eea3cee63160fa8bed,14.0,,,False,4
17,6,9b98b8c7a33c4b65b9aebfe6a799e6d9,17.0,17.5,21.75,True,7
18,6,fafdcd668e3743c1bb461111dcafc2a4,21.0,21.75,21.75,True,10
19,7,2906b810c7d4411798c6938adc9daaa5,17.0,19.25,,False,7
20,7,3f207df678b143eea3cee63160fa8bed,14.0,15.25,,False,4
21,7,4d5c57ea9a6940dd891ad53e9dbe8da0,7.0,9.0,,False,5
22,7,fafdcd668e3743c1bb461111dcafc2a4,0.0,0.5,,False,10
23,8,2298d6c36e964ae4a3e7e9706d1fb8c2,14.0,14.5,,False,7
24,8,2906b810c7d4411798c6938adc9daaa5,17.0,18.0,,False,7
25,8,4d5c57ea9a6940dd891ad53e9dbe8da0,0.0,3.5,,False,5
26,8,9b98b8c7a33c4b65b9aebfe6a799e6d9,21.0,27.0,,False,7
27,8,ae264e3637204a6fb9bb56bc8210ddfd,7.0,,,False,7
28,9,2906b810c7d4411798c6938adc9daaa5,14.0,14.75,20.75,True,7
29,9,9b98b8c7a33c4b65b9aebfe6a799e6d9,7.0,8.0,20.75,False,7
30,9,f19421c1d4aa40978ebb69ca19b0e20d,0.0,0.0,2.5,True,5
31,9,fafdcd668e3743c1bb461111dcafc2a4,24.0,24.5,25.0,True,10
32,10,4d5c57ea9a6940dd891ad53e9dbe8da0,14.0,14.5,,False,5
33,10,5a8bc65990b245e5a138643cd4eb9837,7.0,9.25,,False,3
34,10,9b98b8c7a33c4b65b9aebfe6a799e6d9,17.0,,19.25,False,7
35,10,f19421c1d4aa40978ebb69ca19b0e20d,21.0,21.75,,False,5
36,11,2298d6c36e964ae4a3e7e9706d1fb8c2,0.0,1.0,,False,7
37,11,ae264e3637204a6fb9bb56bc8210ddfd,24.0,28.5,28.5,True,7
38,12,2298d6c36e964ae4a3e7e9706d1fb8c2,17.0,18.25,23.0,True,7
39,12,ae264e3637204a6fb9bb56bc8210ddfd,14.0,14.0,,False,7
40,12,f19421c1d4aa40978ebb69ca19b0e20d,7.0,7.25,,False,5
41,13,2298d6c36e964ae4a3e7e9706d1fb8c2,7.0,7.0,,False,7
