,person,offer_id,day_received,day_viewed,transactions,duration ,valid
0,3,5a8bc65990b245e5a138643cd4eb9837,24.0,27.75,[ 5.5  14.5  18.75 19.75 26.5  29.  ],3,False
1,4,5a8bc65990b245e5a138643cd4eb9837,7.0,9.0,[ 5.5   6.    9.25 10.   15.75 21.25 22.25],3,True
2,5,3f207df678b143eea3cee63160fa8bed,14.0,14.0,[ 9.75 11.   25.5 ],4,False
3,10,5a8bc65990b245e5a138643cd4eb9837,7.0,9.25,[ 2.5   6.75 14.75 16.5  19.25 22.25],3,False
4,14,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,[ 8.75 17.75 19.   20.75 21.5  26.25],3,False
5,17,5a8bc65990b245e5a138643cd4eb9837,21.0,21.0,[ 2.   13.25 17.5  18.   18.5  20.25 21.   22.   28.5 ],3,True
6,18,5a8bc65990b245e5a138643cd4eb9837,24.0,24.0,[ 2.25 12.5  16.75 23.75 28.25],3,False
7,20,5a8bc65990b245e5a138643cd4eb9837,24.0,25.75,[ 2.75  9.    9.25 17.5  20.5  21.5  22.75],3,False
8,22,3f207df678b143eea3cee63160fa8bed,17.0,19.5,[ 7.5   9.   10.75 13.   20.   21.25 28.5 ],4,True
9,23,3f207df678b143eea3cee63160fa8bed,0.0,0.75,[ 0.75  3.    6.    8.5  15.   17.25 19.25 20.  ],4,True
10,24,3f207df678b143eea3cee63160fa8bed,7.0,7.25,[ 1.25  5.25 10.5  12.75 28.75],4,True
11,25,3f207df678b143eea3cee63160fa8bed,24.0,25.0,[ 5.25  8.75 11.5  19.25 25.25],4,True
12,30,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,"[ 2.5  11.75 12.5  13.5  13.75 16.75 17.   17.75 18.   19.5  19.75 20.
 22.75]",3,True
13,32,5a8bc65990b245e5a138643cd4eb9837,0.0,0.0,[ 1.    8.25 11.25 16.   16.25],3,True
14,33,3f207df678b143eea3cee63160fa8bed,21.0,22.25,[ 8.25 10.5  15.25 17.25 19.25 25.  ],4,True
15,34,5a8bc65990b245e5a138643cd4eb9837,14.0,14.5,[ 5.5  11.75 19.5  25.5 ],3,False
16,35,5a8bc65990b245e5a138643cd4eb9837,7.0,9.5,"[ 0.5   1.25  3.    4.    5.    5.75  7.25  8.5  15.5  16.25 18.5  19.
 19.25 26.  ]",3,False
17,36,3f207df678b143eea3cee63160fa8bed,7.0,7.5,"[ 0.25  0.5   1.75  3.25  8.   10.   12.   14.5  21.75 22.25 24.5  25.25
 27.   28.75]",4,True
18,37,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,[ 1.75  5.    9.   14.25 23.75 24.75],3,True
